Unnamed: 0,property_type,sector,society,price,price_per_sqft,built_up_area,bedRoom,bathroom,balcony,floorNum,agePossession,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
60,flat,sector 108,experion the heartsong,1.02,7950.12,1283.0,2,3,3,4.0,Relatively New,1,0,0,0,0,1,112,"28.5134° N, 76.9830° E",28.5134,76.983
61,house,sector 105,independent,1.35,3857.14,3500.0,5,3,3,3.0,Moderately Old,0,0,0,0,0,1,0,"28.4952° N, 77.0114° E",28.4952,77.0114
62,flat,sector 85,ss the leaf,1.25,10888.5,1426.0,2,2,3+,17.0,Relatively New,0,0,1,0,0,1,156,"28.4042° N, 76.9513° E",28.4042,76.9513
63,flat,sector 86,microtek greenburg,1.23,8310.81,1339.0,2,2,3,13.0,Relatively New,1,0,0,0,0,1,6,"28.3986° N, 76.9384° E",28.3986,76.9384
64,house,sector 28,dlf city plots phase 4,9.54,29444.44,3240.0,6,5,3+,3.0,New Property,1,1,1,1,0,1,153,"28.4728° N, 77.0865° E",28.4728,77.0865
65,flat,sector 37d,signature global the millennia,0.6,9230.77,625.0,2,2,3,7.0,New Property,0,0,0,0,0,1,35,"28.4478° N, 76.9703° E",28.4478,76.9703
66,flat,sector 90,shree vardhman flora,0.65,4814.81,1222.0,2,2,3,6.0,Relatively New,1,0,0,0,0,1,165,"28.4085° N, 76.9369° E",28.4085,76.9369
67,house,sector 4,independent,0.92,15257.05,603.0,1,4,3,4.0,Moderately Old,0,0,0,0,1,1,0,"28.4738° N, 77.0107° E",28.4738,77.0107
68,flat,sector 107,signature global solera,0.36,5980.07,598.0,2,2,1,7.0,Relatively New,0,0,0,0,1,1,49,"28.5052° N, 76.9729° E",28.5052,76.9729
69,flat,sector 86,pyramid urban homes 2,0.42,8484.85,557.0,2,2,1,2.0,New Property,1,1,0,1,1,1,84,"28.3986° N, 76.9384° E",28.3986,76.9384
70,house,sector 73,dlf alameda,17.0,35109.46,9000.0,5,8,3,3.0,Relatively New,1,1,1,1,0,0,87,"28.4072° N, 77.0118° E",28.4072,77.0118
71,flat,sector 55,sidhivinayak apartments,1.9,10555.56,2000.0,4,3,3+,9.0,Moderately Old,0,0,0,1,0,0,35,"28.4281° N, 77.1100° E",28.4281,77.11
