property_type,sector,price,built_up_area,bedRoom,bathroom,balcony,agePossession,study room,servant room,store room,pooja room,others,furnishing_type,luxury_category,floor_category
flat,sector 2,0.55,588.0,1,1,2,Moderately Old,0,0,0,0,0,1,Low,Mid Floor
house,sector 24,3.5,1080.0,2,4,3,Old Property,0,0,0,0,0,1,Low,Mid Floor
flat,dwarka expressway,1.6,1529.0,3,3,3,New Property,0,0,0,0,0,1,Low,Low Floor
flat,sector 50,6.0,3982.0,4,3,3,Moderately Old,0,1,0,0,0,1,Low,Mid Floor
flat,sector 71,0.82,1086.0,2,2,2,Moderately Old,0,0,0,0,0,1,Low,Mid Floor
flat,sector 7,0.48,889.0,3,2,1,New Property,0,0,0,0,0,1,Low,Low Floor
flat,sector 9,1.2,2000.0,4,3,2,Moderately Old,0,0,0,0,0,2,Low,Mid Floor
flat,sector 37d,0.8,1300.0,2,2,3,Relatively New,0,0,0,0,0,1,Medium,Low Floor
house,sector 4,0.67,76.0,3,3,2,Relatively New,0,0,0,0,1,1,Low,Low Floor
flat,sohna road,0.75,1350.0,2,2,2,Moderately Old,0,0,0,0,0,1,Medium,Mid Floor
house,sector 57,6.0,2700.0,4,5,2,Old Property,0,1,0,1,0,2,Low,Low Floor
flat,sector 33,2.0,1619.0,3,3,3+,New Property,0,0,0,0,0,1,Low,Mid Floor
flat,sector 108,1.6,1500.29,3,4,3+,Relatively New,0,1,0,0,0,2,Medium,Mid Floor
house,sector 43,1.9,60.0,3,3,3+,Old Property,0,0,0,0,0,0,Low,Mid Floor
flat,sector 50,2.65,2470.0,3,4,3+,Moderately Old,0,1,0,0,0,2,High,Mid Floor
flat,sector 24,6.5,3889.0,4,5,3+,New Property,0,1,0,0,0,0,Low,Mid Floor
flat,sector 86,1.25,1339.0,3,4,3,Relatively New,1,0,0,0,0,1,Low,
flat,sector 89,1.3,1581.0,3,3,2,New Property,1,0,0,0,0,1,Low,Low Floor
house,sector 8,0.62,550.0,3,1,0,Moderately Old,0,0,0,0,0,1,Low,Low Floor
flat,sector 99a,1.45,1807.0,3,5,3,Relatively New,0,1,0,0,1,2,Low,High Floor
flat,gwal pahari,1.5,1850.0,4,4,3+,Moderately Old,0,0,0,0,0,1,Medium,Mid Floor
house,sector 105,0.37,450.0,2,2,1,Moderately Old,0,0,0,0,1,1,Low,Low Floor
flat,sector 67,2.9,2047.0,3,3,3,Relatively New,0,0,0,0,1,2,Low,
