property_type,sector,society,price,area,price_per_sqft,built_up_area,carpet_area,super_built_up_area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,sector 9a,the khushboo cooperative housing society ltd,0.88,1800.0,4888.0,,1123.0,1800.0,3,3,2,2.0,North-West,Old Property,0,0,0,0,0,2,31
house,sector 24,independent,6.5,2844.0,22855.0,2844.0,,,4,4,2,2.0,,Old Property,0,0,0,1,0,1,35
flat,sector 88a,godrej oasis,2.65,1582.0,16747.0,,124.0,,3,3,3+,10.0,,New Property,0,0,0,0,0,1,110
house,sector 4,not applicable,0.75,640.0,11718.0,640.0,,,5,4,3,2.0,,Moderately Old,0,0,0,0,0,1,0
flat,sector 82,mapsko royale ville,0.97,1790.0,5418.0,,,1790.0,3,4,2,16.0,North-West,Relatively New,0,1,0,0,0,1,95
flat,sector 79,supertech araville,0.95,1530.0,6209.0,,,1530.0,2,2,3,7.0,North-East,New Property,1,0,0,0,0,1,49
flat,sector 84,ss the coralwood,1.1,1890.0,5820.0,,,1890.0,3,3,3+,12.0,East,Moderately Old,0,0,0,0,0,2,104
house,sector 33,unitech uniworld resorts,9.5,4071.0,23333.0,500.0,,,5,7,3+,2.0,East,Under Construction,1,1,1,1,0,1,57
house,sector 3,independent,0.55,750.0,7333.0,750.0,,,1,1,0,1.0,,Undefined,0,0,0,0,0,1,0
flat,sector 102,conscient heritage max,2.2,2149.0,10237.0,1186.0,1130.0,2149.0,3,4,3+,20.0,East,Relatively New,1,1,0,0,0,2,45
house,sector 6,independent,1.0,240.0,41666.0,240.0,,,6,4,0,3.0,,Undefined,0,0,0,0,0,1,0
flat,sector 65,emaar mgf emerald floors premier,2.8,1650.0,16969.0,1800.0,1650.0,1975.0,4,4,3,2.0,North,Relatively New,1,0,0,0,0,2,89
flat,sector 62,emaar digihomes,4.0,2690.0,14871.0,,,2588.79,3,3,3,18.0,North,New Property,0,1,0,0,0,2,38
